token1	token2	weight
beresıñ	beresıñ	7
beresıñ	ğoi	9
oilan	oilan	8
ösıp	jatyr	2
gold	bar	6
gold	osy	10
jolda	kele	8
joldas	joldas	6
allanyñ	nazarynda	3
kelme	dep	9
kelmei	jatyr	2
aijan	apai	7
türde	jauap	10
kelmeidı	dep	9
kelmeidı	ğoi	9
alma	kezek	9
almai	jatyrmyn	10
almaidy	dep	8
almaidy	eken	10
almaidy	ekenmın	10
däpter	alyp	10
däpterge	jazyp	9
däpterge	jazamyz	6
därı	ışıp	10
tapsyr	dep	7
tapsyrmalar	qaida	1
tapsyrmalardy	oryndap	9
ydys	juyp	5
berılgen	tapsyrmany	4
almadym	dep	10
almadym	ğoi	8
alamyn	dep	8
bılmei	otyrmyn	7
tūr	ğoi	9
tūrmyn	ğoi	7
kım	bar	3
kımde	bar	10
taqyryby	men	3
taqyryby	boiynşa	6
taqyryby	qandai	8
bırde	bır	6
bırde	bar	4
bırdei	bolyp	9
ketse	eken	10
barsa	barsa	9
barsam	bolady	9
barsam	bolama	8
amansyñba	qalaisyñ	7
qatyp	jatyr	8
bıle	almai	8
bıle	tūra	7
bıledı	ğoi	6
bara	jatyrmyn	7
baraiyn	dep	8
para	kerek	3
qazırgı	kezde	9
qazırgı	tañda	10
qalypty	jağdaida	9
qalypty	ğoi	9
özıñ	qalaisyñ	4
er	adam	3
ere	bersın	10
jıberdı	dep	2
jıberdı	ğoi	7
alğa	qoiğan	6
alğaş	ret	7
alğaşqy	merekesı	2
bıtıp	qalypty	6
bıtıp	qaldy	9
tyñdap	köruge	6
bırden	bır	9
jağy	da	8
jağy	qalai	9
jağyn	özıñ	7
jağyn	bılmedım	9
jağynan	da	6
jağynan	jaqsy	7
jauaby	bar	9
jauaby	joq	8
jıberem	dep	8
jıberemın	dep	7
saq	bol	6
saq	bolyñdar	5
saqtap	qoidym	9
ketıp	bara	8
ketıp	qaldy	9
ketıppın	ğoi	10
et	asyp	1
bükıl	älem	9
özderıñ	qalaisyñdar	8
özderıñız	qalaisyzdar	3
aita	ber	2
aitam	dep	8
aitamyn	dep	10
aitamyn	ğoi	6
bärımız	bır	8
bärımız	bırge	9
estıp	tūrmyn	8
kem	degende	9
belgı	berıñder	7
belgı	beremız	8
belgılı	bır	6
jerı	jaily	3
şama	kelgenşe	6
şama	kelse	7
şama	joq	8
tügel	emes	7
tügel	qatysamyz	9
qait	dep	9
qait	üige	5
qaita	qaita	5
qaitadan	jıberşı	5
tapsyrmasyn	oryndap	7
au	janym	7
aurp	tūr	5
aurp	kettı	5
qasym	han	7
qasym	jomart	9
qasymda	adam	6
qasymda	adamdar	9
ben	jıgıt	10
ben	kto	9
bal	alyp	5
dünie	jüzı	9
jaza	ber	6
jazam	dep	10
berıñder	dep	6
aitpai	aq	8
aitpaim	aitpaim	3
aitpaim	dep	6
auyrma	añsağan	7
maman	men	3
maman	iesı	9
körınıp	tūr	6
kımsıñ	kımsıñ	3
jattap	al	10
bolsan	men	10
bolsan	boldy	8
jazda	jūmys	7
jazda	baram	8
jata	ber	7
jatady	ğoi	9
kerı	bailanys	9
qos	laik	3
qosymşa	oqy	6
qosymşa	tabys	10
keşkı	as	9
qyzdarğa	aityp	9
qyzdarğa	arnalğan	9
bek	bek	8
bekzat	degen	1
är	türlı	8
ärqaşan	jüzıñnen	8
bolmady	dep	6
bolmady	ğoi	8
kördı	ğoi	4
kördıñ	ğoi	4
şyğatyn	kezde	3
jar	bolsyn	10
jarym	jyl	2
jylda	bır	9
jylda	jana	8
şyğamyz	dep	5
şyğamyz	būiyrsa	8
jylğa	aman	9
jylğa	deiın	10
jylğa	qarsy	5
as	bolsyn	10
asty	syzylğan	2
degenı	bar	5
degenı	eken	8
degenı	qalai	8
degenım	ğoi	8
degenımız	ol	1
mas	bop	6
mas	bolyp	6
maska	tağyp	5
maska	kiıp	7
jazdy	dep	9
jazdy	ğoi	7
jazdyñ	ğoi	9
jyldan	berı	5
jyldan	keiın	10
krem	dlia	8
ese	artyq	5
esep	şyğaru	8
eseptı	şyğaryp	10
özımnıñ	de	7
almaisyñ	ğoi	8
jet	ata	5
jet	baqytty	6
jetpei	jatyr	8
jetpei	tūr	8
bılmedım	men	8
bılmedım	ol	9
bılmedım	ğoi	7
jatyrm	özıñ	8
jatyrma	dep	6
karta	oinap	9
oibu	men	3
oibu	janym	9
jattyğu	jasau	8
jattyğu	jasap	7
ūstamai	jatyr	6
ūstamai	tūr	5
olarğa	da	8
denı	dūrys	5
qaidağy	bır	2
qaidağy	joq	9
dei	ber	8
deimın	da	9
deimın	de	9
mümkın	emes	5
mümkındık	bolsa	6
mümkındık	beredı	10
äkep	berdı	8
quanyş	pen	9
quanyşty	künderıñ	7
beret	dep	6
beret	eken	5
üidegıler	jaqsy	9
üidegıler	qalai	9
köşe	jaqqa	4
köşege	şyğyp	5
nazym	nazym	4
jazşy	jazşy	5
jazşy	dep	8
jazşy	mağan	9
bıreuı	bar	7
bıreuın	tañda	6
bıreuın	tañdap	7
tom	men	9
tom	je	8
türlerı	bar	6
berıñız	jüzıñızden	5
berıñızşı	dep	9
berıñızşı	ötınış	9
şyğaru	kerek	4
şyğarsyñ	dep	4
şyğarsyñ	endı	8
du	du	9
dumai	kak	1
söitıp	jürıp	1
sözder	men	8
köret	dep	9
köretın	adam	1
aş	dep	7
aş	qarynğa	9
aşu	kerek	8
jūmysy	bar	5
jūmysyn	qalai	8
jūmysyn	ıstep	8
künı	qūtty	9
künıñ	qūtty	6
künıñız	qūtty	3
künıñız	sättı	3
esı	dūrys	8
esık	aldynda	4
esık	aşyq	9
anyq	emes	9
anyq	qylyp	7
köredı	dep	8
köredı	eken	9
köredı	ğoi	7
ışkı	jan	8
ışkı	qūrylysy	8
gül	syilaisyñ	9
la	la	6
lan	men	2
lan	davai	7
qūr	qol	7
qūr	bosqa	6
qūrmettı	oquşylar	5
beresız	ğoi	10
beru	kerek	5
beruge	bolady	3
fota	jıberşı	6
jüre	ber	4
jüred	dep	6
jüredı	zarplata	4
bıtırıp	jatqan	7
baian	sūlu	7
ün	joq	7
ün	tünsız	4
ünemı	osylai	5
ünemı	külıp	9
aitty	dep	8
aittyñ	ğoi	10
alina	men	3
alina	degen	7
ainalaiyn	au	9
renjıme	renjıme	6
renjımeşı	renjımeşı	6
aşa	almai	2
körsetıp	jatyr	4
körsetıp	tūr	7
ju	ju	7
ju	dep	3
tärbie	sağaty	6
osynyñ	bärı	6
osynyñ	bärın	10
ketsın	alla	9
ketsın	dep	8
qatys	dep	9
qatysty	emes	1
qanat	ağa	8
qanat	ümbetov	8
qanat	tıleimın	9
instagram	da	7
instagram	arqyly	7
anany	mynany	9
jıberesız	ğoi	6
qaisysy	dūrys	2
etpeidı	janym	8
etpeidı	ğoi	4
almaityn	şyğarmyn	5
almaityn	boldym	9
qarağanda	jaqsy	10
kömek	kerek	7
kömektesıp	jıberşı	6
kömektesıp	jıberıñızşı	7
üstın	basyp	9
üstıne	nūr	2
kündı	jazamyz	6
kündız	tünı	9
kündız	ūiyqtap	8
jatsa	da	9
jatsam	da	9
ah	ah	7
aha	jaraidy	4
ahahah	ahahah	7
ahahahahahahahah	ahahahahahahahah	1
orynda	dep	1
oryndai	almai	9
jüretın	edı	7
jüretın	edım	8
aitsañ	boldy	9
massaj	jasap	4
oblysy	boiynşa	5
bolam	dep	9
bolamyn	dep	7
dos	retınde	4
dostary	köp	9
dostarym	bar	3
bırneşe	ret	7
körıne	ber	4
körıne	bersın	5
ūnady	mağan	6
istoriia	salyp	3
qalsa	da	4
qalsa	eken	7
qysqa	daiyndyq	9
eşkım	joq	7
eşkımdı	jaqsy	8
kei	kezde	3
keibır	adamdar	7
taqyrypty	jazyp	8
taqyrypty	oqyp	9
krasnyi	barhat	8
oq	atyp	4
oqy	oqy	1
tabylady	jäne	8
tabylady	ğoi	6
bos	emes	5
bosa	da	6
bosamai	jatyr	7
oilai	ber	5
oilai	bıl	7
oilai	berme	6
oilaimyn	men	6
köz	jasy	6
köz	timesın	200
közım	auyryp	7
jatam	men	9
jatam	dep	9
jatam	ğoi	6
qanşağa	aldyñ	7
qanşağa	deiın	8
jolğa	şyğyp	7
ärdaiym	jüzıñızden	8
ärdaiym	külıp	9
disıñ	ğoi	7
info	berıñderşı	3
informatika	dan	3
ärtürlı	bolady	8
kelmese	de	8
kelmese	ait	8
eşkımmen	söilesıp	8
eşkımmen	söileskım	9
türı	bar	7
türın	ai	7
türın	anyqta	9
qyzdarmen	söilesıp	6
jel	joq	5
jel	bolyp	9
jel	soğyp	7
ketsem	keşırım	9
bank	arqyly	7
sabağy	bar	8
sabağyn	bastaimyz	9
sabağyn	jaqsy	5
jete	ber	9
jete	almai	6
jetedı	dep	8
jetedı	eken	8
jetedı	ğoi	9
bi	bilep	6
biık	belesterden	7
basyna	baryp	5
basynan	bastap	7
barşa	mūsylman	4
barşañyzğa	qaiyrly	1
mamanyñ	tuğan	9
mamanyñ	tuylğan	5
alys	emes	9
jailap	jailap	7
jailap	şükır	6
jailap	jürıp	7
kelmedı	dep	9
kelmedı	ğoi	6
şyğarmyn	dep	5
mynadai	bolyp	3
jağdaida	da	7
jağdaida	ğana	5
kündelık	kz	6
vmeste	veselo	1
qol	timei	9
qoly	bos	8
qoly	timei	6
osymen	kırıp	8
bolaiyq	dep	9
jıberemız	dep	9
bolmait	dep	9
bolmaityn	närse	3
bolmaityn	siiaqty	9
bolmaityn	närsege	9
bırtürlı	bop	9
bırtürlı	bolyp	8
berme	dep	5
jıberu	kerek	6
körıñız	ūnasa	1
körıñız	tünıñız	6
jaqynda	ğana	7
oryndau	kerek	4
oryndau	üşın	3
nömır	berşı	9
baraiyq	dep	3
jastar	baqytty	3
vse	vse	5
bıreudı	tauyp	9
bıreudı	jaqsy	9
bıreudıñ	üiınde	5
bolaiyn	dep	9
atyn	kım	2
atyndağy	jalpy	6
atyndağy	azaq	8
bılem	ğoi	5
bılemın	ğoi	7
alsa	da	3
alsa	bolady	9
tūrmys	qūrğan	6
tūrmys	qūryp	6
tūrmysqa	şyğyp	7
aldyna	baryp	6
bıtken	joq	9
bıtken	soñ	9
keldık	üige	3
esım	şyğyp	3
esımde	joq	7
kır	juyp	2
kırgen	kezde	7
kırgen	joq	9
jasy	qūtty	9
jasy	ūzaq	10
jasyn	jasai	3
deti	kak	9
kıre	almai	8
kırem	dep	5
kete	ber	3
ketesıñ	dep	10
ketesıñ	ğoi	8
jazuğa	bolady	5
basyñ	aman	8
tūrdy	da	9
tūrdy	ğoi	7
tūrdym	özıñ	4
tūrdym	ğoi	7
jıberesıñ	ğoi	5
qosu	kerek	3
qosu	jäne	7
densaulyğy	qalai	5
densaulyğy	myqty	10
densaulyğyñ	qalai	4
densaulyğyñ	myqty	8
dūğa	tılekterıñız	4
mynağan	jauap	6
baiağy	da	9
baiağy	jūmys	6
baiağy	jartas	8
deptı	bır	7
deptı	qoian	7
deptı	ğoi	8
kelu	kerek	5
tün	janym	1
tün	tynyştyğyn	9
tüngı	de	8
tüngı	sağat	5
qarapaiym	qyz	8
jağyp	jatyr	9
jağyp	jatyrmyn	6
būdan	keiın	5
türınde	jaz	8
bızdı	de	7
bızdıkı	de	9
bızdıkı	emes	3
dostyq	degen	9
dostyq	jaily	8
atty	otandyq	9
qyzmet	körsetu	4
olarda	da	9
mamalar	bar	6
oqi	ber	6
oqi	almai	8
oqi	beresız	7
oqidy	dep	9
oqidy	eken	9
oqidy	ğoi	8
aitqanyñ	kelsın	8
aitqanyñyz	kelsın	1
jıberıñder	dep	1
bärıñ	bır	6
qūran	oqytyp	6
qūran	oqyp	8
jağdaiy	jaqsy	9
jağdaiy	qalai	6
jağdaiyñ	qalai	9
jağdaiyñ	jaqsyma	5
bolyñyz	apai	6
byli	by	4
bılu	kerek	7
bılu	üşın	3
bıletın	adam	8
bıletın	şyğarsyñ	6
şek	jıbere	9
şek	jıberseñız	9
ketu	kerek	8
jürem	dep	2
jürem	ğoi	6
mamandyq	tañdau	6
jürmız	ğoi	9
şans	bar	2
şans	joq	5
auyldan	kelgen	7
auyldan	kele	8
adamdar	bar	9
adamdardy	şattağy	8
adamdardyñ	bärı	7
belgısız	jan	8
belgısız	bolyp	6
ūnamai	tūr	7
ūnamai	qaldy	8
ūnamaidy	mağan	5
dokument	kerek	3
dokument	tapsyryp	6
dese	de	7
aiğa	alğaş	10
aiğa	deiın	9
vtornik	künı	5
köp	köp	3
köptegen	adamdar	5
aitamyz	dep	6
aitamyz	ğoi	7
özınen	özı	8
özınen	sūrap	5
jekege	jıberemız	8
şat	bar	9
şat	aşu	9
aldym	dep	6
aldyq	dep	9
biıkterden	körınıp	6
biıkterden	körıne	10
bılmeidı	ekenmın	3
bılmeidı	ğoi	6
kyzy	bar	9
mūqiiat	bol	2
mūqiiat	qarap	9
mūqiiat	oqyp	9
bolu	kerek	10
jazatyn	adam	2
bıleiın	degenım	7
bıleiın	dep	9
oiym	men	4
oiym	joq	7
jasa	dep	9
jasa	baqytty	8
jasau	kerek	7
jasauğa	bolady	3
qyzdardyñ	bärı	5
qyzdardyñ	armany	7
kk	emes	7
künder	men	6
künder	köp	9
künder	qaldy	6
künderı	qūtty	8
şatasyp	ketıppın	5
şatasyp	ketken	6
şatasyp	kettım	9
qoidy	dep	9
qoidy	ğoi	7
qoidyñ	ğoi	5
jıberedı	dep	3
jıberedı	eken	8
jıberedı	ğoi	6
dastan	men	7
jazaiyn	dep	5
jazaiyn	desem	4
alladan	basqa	9
alladan	tılegen	8
kafe	de	9
kafe	bar	8
kol	bos	6
kol	timei	5
kolledj	de	6
kolledj	den	5
ūiyqtai	almai	9
ūiyqtai	almadym	5
qydyr	ata	10
qydyryp	jür	1
qydyryp	jürgen	6
qūrdas	qalaisyñ	7
balalarğa	arnalğan	6
köru	kerek	2
köruge	bolady	2
köruge	jazsyn	7
bereiık	dep	9
kedergı	bolmaiyn	4
kedergı	jasap	9
balalardy	alyp	8
balalardy	qorğau	5
balalardyñ	qyzyğyn	8
bardy	dep	4
bardy	ğoi	9
bardym	dep	6
bardym	ğoi	8
bolğany	jaqsy	4
bolğany	dūrys	8
bolğany	üşın	9
sūraqtar	boiynşa	9
sūraqtar	bolsa	9
sūraqtarğa	jauap	8
instada	bar	1
instadan	laik	4
instadan	körıp	6
keñ	taralğan	8
keñ	tarağan	8
keñes	beremın	8
mynalar	jatady	9
soska	qaida	5
soska	bop	9
qalada	tūrasyñ	9
qaladan	bolasyz	9
kündelıktı	ömırde	8
kündelıktı	ömırıñızdı	8
gülım	gülım	9
gülım	menıñ	8
öle	almai	6
öleñdı	ermek	1
tuyp	al	6
tuyp	ösken	8
jūğysty	bolsyn	8
qor	bolyp	1
qorqam	men	4
jıbersem	bolady	3
jıbersem	bolama	9
mūnda	qyzyq	3
mūndai	jağdaida	6
jetken	tuğan	6
saqtai	gör	8
saqtai	alasyñba	9
byltyr	da	3
edıñ	ğoi	5
edıñız	ğoi	4
endıgı	apta	4
endıgı	jyly	9
jatqam	özıñ	10
jatqam	joq	8
jatqam	ğoi	8
oinai	ber	6
oinai	almai	6
bania	bar	8
bania	jağyp	9
esepte	tūrady	3
esepter	şyğaru	1
qyr	syryn	3
qyrsyq	qyz	1
qyrsyq	qyrsyq	5
köşı	qon	5
köşırıp	jazyp	1
köşırıp	jazamyz	8
tırkeldım	tırkeldım	9
tırkeldım	laik	3
myñğa	deiın	8
myñğa	juyq	9
närsenı	aityp	7
kele	jatyr	6
kelem	dep	10
kelema	dep	6
aia	men	7
aia	aia	7
jasady	dep	7
qolyn	bos	5
qolyn	bospa	6
äreket	jasau	8
äreket	jasap	9
bolmas	edı	9
bolmas	üşın	4
bolmasyn	dep	7
himiia	dan	4
alaiyq	dep	10
şynymdy	aitsam	2
jaraisyñ	jaraisyñ	3
jaraisyñdar	balalar	6
kelgenşe	kömek	9
köreiık	dep	3
oryndağan	joqpyn	4
jattyğular	videomen	5
tūñğyş	prezident	9
tūñğyş	prezidentı	4
tūrğan	joq	9
jina	dep	8
jinalys	boldy	1
jinalys	bolyp	9
erke	qyz	9
erketaiym	menıñ	7
şynaiy	joba	1
osylar	bar	9
osylar	ğana	8
osylardy	jazyp	6
osylardy	ğana	7
alsyn	dep	7
qaryzğa	aqşa	3
syrt	közge	6
syrt	kiım	6
syrtqa	şyğyp	6
būiyrsyn	būiyrsyn	2
üiı	bar	3
üiıñe	baram	3
üiıñe	baryp	8
mi	aşyp	9
million	ret	6
million	kımge	6
syilyq	alyp	6
kırdı	dep	4
jettıñ	der	6
keteiın	dep	3
ışın	pysyp	2
ışın	aşyp	5
ışıne	salyp	9
ışıne	kırıp	9
jaurap	jatqan	2
jaurap	jürgen	7
keste	boiynşa	6
jeka	krasavşik	5
kalyn	qalai	1
kalyn	kiınıp	3
däm	bolsyn	9
dämdı	bolsyn	1
betın	jauyp	3
betın	tüsırıp	7
betıne	qarap	8
jaişa	zvandadyñ	3
şyq	dep	4
şyqsa	da	7
şyqsa	eken	9
şyqsa	boldy	9
jauaptary	bar	6
jauaptary	barma	5
uaqyt	joq	7
uaqytynda	oryndap	10
ädıl	sailau	5
ädılet	ädılet	4
bastym	endı	4
bastym	laik	7
kalam	dep	7
şal	men	2
şal	bolyp	5
jügırıp	jürgen	8
bermei	jatyr	9
bermei	aq	6
bermeidı	dep	8
bermeidı	eken	9
bermeidı	ğoi	6
barasyn	dep	5
memleket	basşysy	3
memleket	pen	8
tüs	kör	9
tüse	almai	9
baiqap	jür	5
baiqap	jürıñız	4
dam	tebe	8
damytu	jattyğulary	3
damytu	üşın	5
ärı	berı	9
ärıp	sany	9
mamadan	sūrap	3
ämır	jürmeidı	4
ämır	temır	4
ämırşı	kuañ	5
ara	arasynda	2
ara	qaşyqtyq	6
arasyn	da	9
körgem	joq	3
jaiau	bara	4
jaiau	kele	8
jattau	kerek	8
jelaiu	vam	2
jelaiu	krepkogo	7
jelaiu	tebe	9
konspekt	jazyp	8
jüzege	asyru	4
jüzege	asyrylady	9
kanal	zaidi	10
idei	dlia	4
ideia	bar	1
bağasyn	jazyp	4
bağasyn	bılıp	8
dau	mama	8
dau	bolyp	7
älem	boiynşa	9
älem	elderı	8
älem	ädebietı	8
qasyna	baryp	6
tüster	kör	6
tüster	körıñız	4
baiağyda	bır	7
oqytu	men	1
alu	kerek	8
ata	analar	3
atak	men	9
ğylym	tappai	3
basym	auyryp	4
basymdy	juyp	5
jıberdıñ	ğoi	6
jabyq	tūr	4
jabyq	eken	7
özge	de	9
özge	adamnyñ	5
özgerıp	kettı	9
özgerıp	ketıptı	8
jasaimyn	degen	9
jasaimyn	dep	9
bıte	almai	4
bıtedı	eken	2
bıtedı	ğoi	6
etı	bar	9
etık	alyp	2
özınde	de	8
jart	sağat	6
jarty	sağat	3
jartysy	joq	7
qasyñda	kım	5
qalğandary	qaida	7
akt	zal	3
akt	zalğa	8
jazyñdar	dep	5
videomen	zvandap	5
syrtqy	ıster	7
betke	aita	9
betke	ūstar	9
jerın	auyryp	7
zattar	men	5
zattar	bar	9
zattardy	alyp	9
zattardyñ	fizikalyq	5
mys	pen	6
mysal	keltırıp	1
mysal	retınde	9
astana	bank	5
astana	baikonur	7
astanada	jūmys	10
bıreumen	söilesıp	2
bolmağan	soñ	3
medina	medina	5
otyra	ber	2
otyramyz	dep	10
bolğanyn	qalaisyñ	3
bolğanyn	qalaimyn	8
köñıldı	bolsyn	5
köñıldı	ötsın	7
kınälı	emes	7
kınälı	emespın	9
kınälı	bolyp	9
satylady	bağasy	9
mınez	bar	3
mınez	degen	6
mınezı	öte	6
aiaq	asty	8
aiaq	kiım	10
internet	ıstemei	7
internet	dūrys	10
internette	bar	10
internetten	qarap	3
internetten	ızdep	5
jyldy	jaqsy	8
jyldy	qalai	6
taksimen	bara	4
taksimen	kele	8
deitın	edı	7
köbısı	solai	4
degenşe	men	1
jürsın	dep	3
sandar	jiyny	5
sandardy	qosu	4
sandardy	bölu	7
videoğa	tüsırıp	6
bılesız	jäi	3
bılesız	ğoi	4
almaimyz	dep	6
almaimyz	ğoi	7
mynanyñ	bärın	7
mynanyñ	ışınde	8
aru	men	9
aruka	miks	10
tabiği	jäne	7
qamtamasyz	etedı	6
qamtamasyz	etetın	9
qamtamasyz	etu	9
keşeden	berı	7
keşeden	beri	3
zar	zaman	10
zarplata	tüstı	2
zarplata	kak	8
baldar	qalai	5
baldardy	alyp	10
qajetı	joq	3
jalğyzym	jalğyzym	1
jalğyzym	menıñ	6
jalğyzym	jüregım	5
bağan	türınde	9
alşy	telefon	1
etetın	faktorlar	5
alğam	joq	7
alğam	ğoi	6
jūmystamyn	ğoi	3
kez	kelgen	4
kezdesıp	jürgen	2
kezdesıp	söilesıp	5
aiy	qūtty	5
aiyna	bır	2
aiyna	qanşa	7
qoiypty	ğoi	6
dosy	bar	2
tūra	almai	4
tūra	bersın	10
tūraqty	jūmys	7
tūraqty	türde	8
tūraqty	söz	8
bersen	bolady	8
bersen	boldy	7
jastan	bastap	6
jastan	jasqa	7
dyñ	dyñ	5
qalar	dep	2
qalar	edım	6
auyzşa	jauap	7
oquşy	ğana	4
oquşylardyñ	sabaqqa	9
bolğym	keledı	9
keiıngı	kezde	5
jattym	men	4
jattym	qaiyrly	5
körmei	aq	6
körmei	jatyp	5
aitpady	dep	8
aitpady	ğoi	6
jylu	mölşerı	5
kıru	kerek	9
kıru	üşın	4
şaşy	ūzyn	6
şaşyn	alyp	5
şaşyn	jūlyp	5
şırkın	ai	9
elbasy	künıne	3
elbasy	nūrsūltan	6
kül	kül	9
küle	bermeş	1
stependiia	tüstı	9
alypty	ğoi	5
barmai	jatyr	2
barmai	aq	5
barmaimyn	dep	7
barmaimyn	deidı	5
oinaidy	eken	7
estıdım	ğoi	6
esımı	kım	2
taldau	jasau	2
sözben	aitqanda	7
sözben	aityp	6
eşqaida	şyqpai	7
oinaityn	adam	4
oinaityn	kezde	8
şyğamyn	dep	6
töl	merekeñ	4
töl	merekeñız	6
töle	bi	9
töle	dep	3
tölem	jasap	6
tättı	tüster	7
tättım	tättım	7
tättım	menıñ	9
bettegı	tapsyrmalardy	2
alar	toby	8
apar	dep	8
aparam	degen	1
aparam	dep	8
bastai	ber	3
bastai	almai	6
esımıñ	kım	9
kısıler	bar	2
kısıler	kelıp	4
kafege	baramyz	9
kafege	baryp	6
jyldyq	esep	5
jyldyq	qūtty	8
jyldyq	kezdesu	8
jyldyq	bolsyn	8
este	saqtau	9
astanağa	ketıp	6
astanağa	baryp	7
jüiesı	men	7
ıs	şara	6
ıs	jüzınde	10
ıste	dep	10
adamnan	adam	3
qūiyp	jatyr	5
qūiyp	tūr	4
sūrau	kerek	4
densaulyğyñyz	jaqsy	2
densaulyğyñyz	qalai	9
densaulyğyñyz	myqty	6
densaulyğyñyz	jaqsyma	8
belsendı	türde	9
oian	qazaq	9
oianyp	kettı	1
oianyp	kettım	8
kölık	barma	7
jien	qalaisyñ	8
kelemız	degen	4
kelemız	dep	8
kelemız	deidı	6
üstınde	tūr	9
jatatyn	jer	5
doşa	kak	6
doşa	qalai	7
qap	qara	7
qapty	ğoi	4
samsung	galaksi	2
kürdelı	zattar	1
jañbyr	jauyp	4
jañbyr	qūiyp	6
jañbyr	jaudy	8
esepterdı	şyğaramyz	9
esepterdı	şyğaryp	8
ūiqy	qaida	6
ūiqy	joq	7
ūiqydan	endı	9
ūiqydan	jaña	6
saqtau	kerek	9
saqtau	üşın	6
düniege	kelgen	7
kapes	kak	5
kelıñız	dep	1
jürsız	ğoi	3
bary	osy	6
bary	jaqsy	8
bary	byr	7
ketpe	dep	9
ketpei	jatyr	2
ketpei	tūr	5
bıreuler	üşın	9
damu	deñgeiı	4
jospar	boiynşa	8
jospar	bar	6
jospar	qūryp	9
jıbermei	jatyr	8
jıbermei	aq	7
sözdıñ	mağynasy	5
sözdıñ	mağynasyn	9
sözdıñ	qysqasy	7
bersin	dep	9
baldary	bar	5
ısteimın	dep	3
ısteimın	endı	6
joğarğy	sot	9
mäsele	pıkır	8
qalyppyn	ğoi	4
keter	edı	1
keter	dep	8
keter	edım	9
şynyñdy	ait	7
şynyñdy	aitşy	8
aldynan	berı	3
aldynan	jarylqasyn	9
dop	alyp	3
dop	oinap	5
sözı	bar	6
sözım	joq	7
dal	solai	2
jako	jako	8
fizikalyq	jäne	4
fizikalyq	qasietterı	7
jarqyn	bolaşaq	7
jarqyn	bolsyn	9
suret	jıberşı	5
surette	körsetılgen	8
bolsañyz	boldy	5
zaiavka	berıp	7
zaiavka	tastap	6
künın	qūtty	6
doljen	byl	4
ketkem	ğoi	6
qanşama	adam	2
qanşama	ret	8
kofe	ışıp	7
ardaq	apai	2
eske	alyp	1
eskertıp	aityp	8
eskertıp	jatyrmyn	7
aiaz	ata	8
aiaz	bolyp	6
kru	kerek	8
qyzmetı	habarlady	1
qūt	bereke	3
qūtty	bolsyn	2
qūttyqtap	jatyr	1
qūrt	bar	6
qūrt	jep	6
alyñdar	dep	6
alda	kele	4
aldağy	uaqytta	5
qalmai	kelıñızder	3
qalmai	kelsın	7
qalmai	kelıñder	7
jazamyn	dep	9
qoiyñdar	dep	4
nömırı	bar	5
nömırı	barma	7
nömırın	jıberşı	5
nömırın	berşı	6
baru	kerek	6
baruğa	bolady	2
baruğa	jelaniia	8
