token1	token2	token3	weight
tüster	körıñız	tünıñız	1
basym	auyryp	tūr	6
qasyñda	kım	bar	1
zattardyñ	fizikalyq	qasietterı	1
medina	medina	medina	1
internet	ıstemei	tūr	3
internet	dūrys	ıstemei	5
jyldy	qalai	qarsy	1
sandardy	qosu	jäne	3
qamtamasyz	etu	üşın	2
jalğyzym	jalğyzym	jalğyzym	1
kez	kelgen	uaqytta	5
aiy	qūtty	bolsyn	1
jastan	jasqa	jete	1
töl	merekeñ	qūtty	1
töl	merekeñız	qūtty	1
tättı	tüster	kör	3
tättı	tüster	körıñız	6
esımıñ	kım	bolady	5
jyldyq	qūtty	bolsyn	1
densaulyğyñyz	myqty	bolsyn	2
qap	qara	bolyp	4
jañbyr	jauyp	jatyr	6
jañbyr	jauyp	tūr	3
jañbyr	qūiyp	tūr	1
mäsele	pıkır	qaldyru	1
jako	jako	jako	1
fizikalyq	jäne	himiialyq	1
suret	jıberşı	ötınış	1
künın	qūtty	bolsyn	1
baru	kerek	edı	6
erkejan	erkejan	erkejan	1
bolatyn	edı	ğoi	1
qūdaiğa	şükır	jaqsy	3
bauy	berık	bolsyn	1
bauyrlar	qalaisyñdar	amansyñdarma	1
ūiqyñ	tynyş	bolsyn	1
tūryñyz	tättı	tüster	1
künderıñ	köp	bolsyn	1
künderıñ	qūtty	bolsyn	1
künderıñ	sättı	ötsın	2
tabys	tabuğa	şaqyramyn	3
jeñıs	künı	qūtty	1
qaitar	dep	jaza	1
ūiyqtaiyn	dep	jatyrmyn	4
respublikasynyñ	tūñğyş	prezidentı	2
äiel	baqytyn	tıleimın	1
körgen	adamğa	ait	6
arty	qaiyrly	bolsyn	1
bırı	bolyp	tabylady	2
rasional	sandardy	bölu	2
rasional	sandy	şeksız	1
jan	jan	jan	1
zattyñ	tyğyzdyğy	jäne	1
körınbei	kettıñ	ğoi	1
paiyz	jaqsy	köresıñ	1
közden	aman	bolsyn	3
közden	saqtasyn	alla	5
külkı	ketpesın	baqytty	3
qazaq	qazaq	qazaq	1
aily	tün	betıñnen	1
pıkır	qaldyru	üşın	1
auyrmai	aman	esen	1
auyrmai	syrqamai	aman	2
tyşqan	ūmytyp	ketpe	1
oilağan	armanyña	jetuıñe	1
tıl	közden	aman	6
tıl	közden	saqtasyn	3
tılı	men	ädebietı	3
alğys	aitu	künı	3
gu	äuletınıñ	şejıresı	1
aksiia	bolyp	jatyr	1
jegım	kelıp	tūr	6
jegım	kelıp	kettı	5
jegım	kep	tūr	5
jüzıñnen	külkı	ketpesın	1
jasaiyn	dep	jatyr	5
timesın	tfai	tfai	1
artqa	qaita	almaisyñ	1
bügınge	soñğy	oryn	1
baruym	kerek	edı	2
druga	budem	vmeste	1
künderıñız	qūtty	bolsyn	1
künderıñız	sättı	ötsın	2
qorşağan	ortanyñ	sapasy	2
alğym	kelıp	tūr	3
bersek	bolady	eken	1
kolm	bos	emes	1
sızderdı	jaqsy	köremın	3
qajymas	qairat	tıleimın	1
sızdı	jaqsy	körem	2
sızdı	qatty	jaqsy	3
sabağyñdy	jaqsy	oqy	3
dünienıñ	baqytyn	näsıp	3
ümıtın	aqtap	jüre	5
ümıtın	aqtap	biık	4
esımnen	şyğyp	ketıptı	2
qolym	bos	emes	2
qolym	timei	jatyr	3
aptasyna	bır	ret	1
aptasyna	ekı	ret	1
sabağyna	tegın	bilet	1
baqytty	bol	auyrma	5
baqyttyñ	bazarynda	allanyñ	6
baqyttyñ	bazarynda	jüre	6
oilama	oilama	oilama	1
kımen	söilesıp	jatsyñ	1
aspan	aily	tün	1
adamdarmen	tez	tıl	1
nazarynda	jüre	ber	2
nazarynda	baqyttyñ	bazarynda	1
qazyna	barsyn	qazyna	1
kettı	ğoi	janym	2
kettım	ğoi	senı	3
eken	ğoi	deimın	6
ekenı	belgılı	bolsa	1
ekenı	körınıp	tūr	1
kelıp	tūr	ğoi	6
ömırde	bar	jaqsylyqty	1
qarnym	aşyp	kettı	3
aralas	sandardy	qosu	3
bazarynda	allanyñ	nazarynda	1
bazarynda	jüre	ber	4
bazarynda	jüre	berıñız	4
kot	kot	kot	1
ömırı	ūzaq	bolsyn	1
ömırıñ	ūzaq	bolsyn	1
basyña	bas	qosylsyn	1
künım	künım	künım	1
tastai	batyp	sudai	1
qūrylysy	men	qyzmetı	1
bızge	de	jūğysty	1
bızgede	jūğysty	bolsyn	1
esten	şyğyp	ketıptı	3
ūly	künı	qūtty	1
ūly	ämırşı	kuañ	1
ūly	jeñıs	künı	1
aittym	ğoi	sağan	2
azannan	keşke	deiın	1
ülken	azamat	bolsyn	4
ızde	ızde	ızde	1
miym	aşyp	kettı	2
azamat	bolyp	össın	5
azamat	bolyp	öse	4
mari	mari	mari	1
ışeiın	dep	jatyrmyn	5
körıñızşı	tez	tez	1
aluym	kerek	edı	1
betıñnen	süidım	qaiyrly	2
şai	ışıp	otyrmyn	6
keşırıñız	keşırıñız	keşırıñız	1
keşırıñızşı	keşırıñızşı	keşırıñızşı	1
qyzyğyn	körıp	jüre	3
qyzyğyna	bölenıp	jüre	1
qyzyğyna	toimai	jüre	1
kımdı	jaqsy	köresıñ	2
ūnamasa	şyğyp	ketesız	1
baiandy	ğūmyr	tıleimın	4
mamañnyñ	tuğan	künı	1
köteru	kerek	ekenın	1
tırkelu	üşın	tölem	1
jüzıñızden	külkı	ketpesın	1
kamaz	kamaz	kamaz	1
kredit	töleu	kerek	1
jazbaimyn	öleñdı	ermek	1
bırlık	künı	qūtty	1
bolsyñ	ömır	jasyñ	3
bölşek	türınde	jaz	4
bölşek	türınde	beru	5
kunıñ	qūtty	bolsyn	1
älemnıñ	bar	jaqsylyğyn	3
funksiia	jäne	onyñ	1
jürek	jürek	jürek	1
qonys	qūtty	bolsyn	1
marafon	telegram	arqyly	1
qolyñ	bos	emes	6
qolyñ	bos	bolsa	4
qasynda	kım	bar	1
kündık	tabys	tabyñyz	1
syzyqtyq	funksiia	jäne	1
tısım	auyryp	jatyr	1
atyna	zaty	sai	1
kırşı	kırşı	kırşı	1
menşık	merekeñ	qūtty	1
ğūmyr	bersın	alla	4
ğūmyr	tıleimın	baqytty	6
ğūmyr	näsıp	etsın	1
maqtanyşy	bolyp	jüre	1
tağala	ūzaq	ğūmyr	1
jaqsy	özıñ	qalaisyñ	1
jaqsy	şükır	özıñ	3
senı	jaqsy	körem	2
senıñde	nietıñ	qabyl	1
telegram	arqyly	bolady	4
şükır	özıñ	qalaisyñ	1
şükır	jaqsy	özıñ	3
meiram	qūtty	bolsyn	1
vagon	vagon	vagon	1
bırınşı	ret	körıp	5
tañbaly	sandardy	qosu	3
tañbaly	sanğa	jazbaşa	2
quantyp	jüre	bersın	3
qospa	qospa	qospa	1
elımız	tynyş	bolsyn	1
jyly	kiınıp	jür	1
jylyna	bır	ret	1
organikalyq	jäne	beiorganikalyq	1
saitqa	sılteme	jasau	1
jetuıñe	tılektespın	ata	5
baramyz	dep	jatyr	4
belesterden	körıne	ber	3
äielder	künı	qūtty	1
äielder	künımen	qūttyqtaimyn	1
äielder	merekesımen	qūttyqtaimyn	1
sözıñ	möldıregen	közıñ	1
dausyñdy	estıgım	kelıp	1
ortamyzda	külıp	oinap	1
qyzyñnyñ	tuğan	künı	1
qyzyñnyñ	tuylğan	künı	1
juaiyn	dep	özıñ	4
juaiyn	dep	jatyrmyn	5
jattyğulary	jäne	olardyñ	1
sūrağym	bar	edı	1
qaitu	kerek	edı	1
jıberudı	ūmytyp	ketıppın	1
menıkı	menıkı	menıkı	1
otbasy	künı	qūtty	1
sabaq	sabaq	sabaq	1
dybysy	men	ärpı	1
salima	tuğan	künıñmen	1
jazğanyñdy	mağan	skrin	1
jylauyq	jylauyq	jylauyq	1
ūstağan	orazalaryñ	qabyl	1
ūstağan	orazañyz	qabyl	1
tūqym	qualaityn	aurular	4
jasyñ	qūtty	bolsyn	1
jasyñ	ūzaq	bolsyn	3
jasyña	jas	qosyla	5
arttyr	täjıribenı	arttyr	1
arttyru	arqyly	kündelıktı	1
hanymdar	men	myrzalar	1
ösırıp	otyrğan	ūl	1
qonjyğym	qonjyğym	qonjyğym	1
esıgın	aşqan	künıñ	1
boludy	näsıp	etsın	1
ömırımde	bırınşı	ret	1
aitaiyn	dep	edım	6
bolaşağy	jarqyn	bolsyn	1
künıñe	sättılık	tıleimın	1
beruım	kerek	edı	1
elın	süigen	elbasy	1
boluy	mümkın	emes	4
barşamyzğa	razy	bolsyn	1
juka	juka	juka	1
küş	quat	bersın	1
kino	körıp	otyrmyn	5
habarlaspai	kettıñ	ğoi	1
tübır	men	qosymşanyñ	3
jıbermeş	jıbermeş	jıbermeş	1
sätın	este	qalatyndai	1
anamdy	süiemın	ğoi	3
timei	jatyr	edı	4
timei	jatyr	ğoi	5
timei	kettı	ğoi	1
ekeuıñ	bır	jastyqta	2
ekeuıñ	baqytty	bolyñdar	3
aitu	kerek	edı	3
aitu	künı	qūtty	1
qadır	tünı	tılegen	4
eşteñe	etpeidı	janym	3
denıñe	saulyq	otbasyña	3
inabatty	ibaly	qyz	1
şağalaryñ	aman	esen	3
aqyldy	qyz	bolyp	1
oryndalatyn	jalpy	damytu	1
bırınen	soñ	bırı	1
jağdailarda	ğana	emes	1
biıkten	körıne	ber	5
biıkten	körıne	bersın	5
töleu	kerek	edı	5
aitqyñ	kelıp	tūr	1
ūtsam	eken	ūtsam	1
quanyşy	bolyp	jüre	1
suyq	bolyp	tūr	3
körmegelı	köp	boldy	1
jaina	jaina	jaina	1
jainap	jüre	ber	4
jainap	jüre	berıñız	5
jainap	qūlpyryp	jüre	1
künımız	sättı	ötsın	4
tüsıp	kettı	ğoi	1
niet	qabyl	bolsyn	1
nietı	qabyl	bolsyn	1
nietıñ	qabyl	bolsyn	1
mändı	de	sändı	1
jazyñdarşy	jazyñdarşy	jazyñdarşy	1
jerıñ	auyryp	jatyr	1
mereke	qūtty	bolsyn	1
merekeñ	qūtty	bolsyn	1
estıgım	kelıp	tūr	3
tılekter	qabyl	bolsyn	1
avtobus	kütıp	tūrmyn	1
trigonometriialyq	teñdeuler	jäne	1
jany	jännatta	bolsyn	1
tüsu	kerek	edı	1
qazaqtardyñ	materialdyq	mädenietı	1
jıbergenım	üşın	keşırım	2
kömegıñ	kerek	bolyp	2
aua	raiy	qalai	4
sybailas	jemqorlyqqa	qarsy	1
jap	jas	bolyp	2
ğasyrdağy	qazaqtardyñ	materialdyq	1
dūrys	dūrys	dūrys	1
orys	tılınen	üi	5
menıkındei	status	salasyñ	1
densaulyğyn	myqty	bolsyn	1
keşırdım	keşırdım	keşırdım	1
aiağymdy	syndyryp	aldym	1
ağam	bar	menıñ	1
namaz	oqyp	alaiyn	5
aqşam	bolmai	tūr	1
jazğanyma	keşırım	sūraimyn	1
ūzaq	ğūmyr	bersın	6
maqsattaryña	jete	ber	1
maqsattaryña	jetuıñe	tılektespın	1
jeñıldıkpen	ülgerıp	qalyñyz	1
aitudy	ūmytyp	ketıppın	1
küştı	eken	ğoi	4
ūiqyñyz	tynyş	bolsyn	1
mazalasam	keşırım	sūraimyn	1
bereiın	dep	edım	4
süikımdım	süikımdım	süikımdım	1
saitta	qate	taptyñyz	1
qyzdaryñnyñ	qyzyğyn	körıp	3
ūstazdar	künı	qūtty	1
ūstazdar	merekesı	qūtty	1
aiko	aiko	aiko	1
hanşaiym	hanşaiym	hanşaiym	1
balañnyñ	tuğan	künı	1
būirsa	eken	būirsa	1
aludyñ	täsılderın	meñgere	1
nūr	üstıne	nūr	1
alaiyn	dep	edım	4
oñ	bolsyn	aq	3
qozy	körpeş	baian	1
mädeniet	pen	önerdıñ	1
nemere	qūtty	bolsyn	1
nemere	şöbere	süiıp	1
arai	arai	arai	1
otbasyñ	aman	bolsyn	2
otbasyñyz	aman	bolsyn	1
ısterımdı	bılmei	otyrmyn	1
ketpeşı	ketpeşı	ketpeşı	1
jūmysyñyzğa	sättılık	tıleimın	1
ülgerdım	ülgerdım	ülgerdım	1
tañnan	keşke	deiın	1
qūlpyryp	jüre	berıñder	6
qaldyru	üşın	saitqa	1
muslim	muslim	muslim	1
kazino	kazino	kazino	1
syrqamai	aman	esen	1
dalee	basyp	oqyñyz	1
onlain	mektepke	kırıp	4
amal	merekesı	qūtty	1
bölımınıñ	meñgeruşısı	bolyp	1
qūrban	ait	qūtty	6
qūrban	ait	qabyl	5
marko	marko	marko	1
merekesı	qūtty	bolsyn	3
bäle	boldy	ğoi	1
teñdeuler	jäne	olardyñ	1
tamyrdyñ	ışkı	qūrylysy	2
kışkentaidyñ	bauy	berık	1
videony	körıp	boldym	1
beruıñe	tılektespın	janym	5
oqiğalardy	hronologiialyq	retpen	1
analarymyz	aman	bolsyn	1
tünıñ	tynyş	bolsyn	1
şäi	ışıp	otyrmyn	5
alağa	şükır	jaqsy	1
bağdarlamalar	bölımınıñ	meñgeruşısı	1
qaharman	qaharman	qaharman	1
qiiu	qiiu	qiiu	1
täsılderın	meñgere	alasyz	1
zan	zan	zan	1
aspanyñ	aşyq	bolsyn	2
aida	aida	aida	1
köreiın	dep	edım	1
naşar	bolyp	tūr	2
mysyq	mysyq	mysyq	1
ömırıñız	ūzaq	bolsyn	1
ısıñızge	bereke	bersın	1
ısıñızge	sättılık	tıleimın	1
ūiat	boldy	ğoi	2
ordasy	bolyp	qala	1
künderıñızge	sättılık	tıleimın	3
otan	qorğauşylar	künı	4
otan	qorğauşylar	künımen	5
otandyq	jobağa	üles	1
jıgıtım	bar	dep	2
nūrädıl	nūrädıl	nūrädıl	1
balapan	balapan	balapan	1
otbasym	aman	bolsyn	1
aişa	aişa	aişa	1
daiyndyq	qalai	bolyp	5
kırgenım	üşın	keşırım	2
barsyn	qazyna	barsyn	1
aqbota	aqbota	aqbota	1
auff	auff	auff	1
jūldyz	jūldyz	jūldyz	1
nemereler	ösıp	jatyr	3
öte	jaqsy	öte	5
künderıñe	sättılık	tıleimın	2
soñğy	ret	qaşan	2
mazalağanym	üşın	keşırım	2
köptañbaly	sandardy	ekı	2
jıbereiın	dep	edım	2
nietterı	qabyl	bolsyn	1
nietterıñ	qabyl	bolsyn	1
eñbegıñ	körınıp	tūr	1
eñbegıñ	jemıstı	bolsyn	1
eñbegıñnıñ	jemısın	kör	3
aitudyñ	qajetı	joq	1
komnata	oinaimyz	kım	1
öşır	öşır	öşır	1
ūiqym	kelıp	tūr	5
ūiqym	kep	tūr	3
aian	aian	aian	1
merekeñız	qūtty	bolsyn	1
tılekterımız	qabyl	bolsyn	1
ğūmyry	ūzaq	bolsyn	1
botqa	adam	şaqyryp	1
jdu	jdu	jdu	1
ğaşyqtar	künı	qūtty	1
ötınış	ötınış	ötınış	1
aktiv	aktiv	aktiv	1
örıs	örıs	örıs	1
taqyryptary	öte	mañyzdy	1
körpeş	baian	sūlu	1
törehan	törehan	törehan	1
ışıñ	pysyp	otyr	2
zyñ	zyñ	ğoi	4
nūrserık	nūrserık	nūrserık	1
jynym	kelıp	tūr	4
sūrap	jatyr	edı	6
äbılmansūr	äbılmansūr	äbılmansūr	1
künıñızge	sättılık	tıleimın	1
jylyñ	qūtty	bolsyn	1
aqylyna	körkı	sai	1
jobağa	üles	qosu	1
aiym	aiym	aiym	1
prezident	künıne	orai	5
qairat	tıleimın	ärqaşan	5
qairat	nūrtas	senı	1
aitarğa	sözım	joq	1
köpköp	köp	köp	1
jūldyzdy	aspan	aily	1
qosağyñmen	qosa	ağar	1
täuelsızdık	künı	qūtty	1
bauyrym	qalaisyñ	densaulyq	5
baqytyn	näsıp	etsın	1
baqytyna	sebep	bolğan	1
aqerke	aqerke	aqerke	1
tuğan	künı	qūtty	3
tuğan	künıñmen	qūttyqtaimyn	3
memleketke	zañdy	tırkelgen	1
saiana	saiana	saiana	1
danşik	danşik	danşik	1
bop	tūr	ğoi	3
bopty	bopty	bopty	1
täjıribenı	arttyr	täjıribenı	5
inkliuzivtı	bılım	beru	1
aqseleu	aqseleu	aqseleu	1
asyñ	dämdı	bolsyn	1
ışım	pysyp	kettı	3
qoltyqşaş	qoltyqşaş	qoltyqşaş	1
qyrsyqpyn	qyrsyqpyn	qyrsyqpyn	1
qaitalanbas	äiel	boluğa	1
sansyz	şükırşılık	etemın	1
otbasymyz	aman	bolsyn	1
şyñdardan	körıne	ber	4
şyñdardan	körıne	bersın	5
tañğy	as	ışıp	1
qolyñyz	bos	bolsa	3
qolyñyz	dert	körmesın	1
janym	menıñ	jüregım	3
janym	janym	janym	1
tılegıñ	qabyl	bolsyn	1
aitsan	boldy	ğoi	1
aşyq	sabaq	bolady	1
nemereñızdıñ	bauy	berık	1
miras	miras	miras	1
jasyna	jas	qosyla	3
süigen	jarymnyñ	süiıktı	1
anasyna	sabyr	bersın	1
berdık	qalaisyz	dar	4
eñbegıñız	jana	bersın	1
eñbegıñız	jemıstı	bolsyn	1
eñbegıñızdıñ	jemısın	körıñız	3
astaryñ	dämdı	bolsyn	1
symbat	symbat	symbat	1
jüzınen	külkı	ketpesın	1
armandaryñ	oryndala	bersın	1
jasyñyz	qūtty	bolsyn	1
jasyñyz	ūzaq	bolsyn	1
şuağyn	şaşqan	künım	1
mūsylman	älemın	qalai	1
raiy	jäne	meteorologiialyq	1
aruna	aruna	aruna	1
aiau	men	senı	1
tehön	tehön	tehön	1
halatty	abzal	jandar	1
bolyp	tūr	ğoi	5
oramalyñ	qūtty	bolsyn	1
jañalyq	joq	özıñde	4
nietterıñız	qabyl	bolsyn	1
ömırıñızdı	de	rettei	1
älemın	qalai	özgerttı	1
böpe	böpe	böpe	1
europa	men	mūsylman	1
ğūmyryñ	ūzaq	bolsyn	1
jalğan	dünie	jalğan	1
jalğan	ekenın	anyqta	1
bılıktılıgın	arttyru	kursynyñ	1
söilespeimız	söilespeimız	söilespeimız	1
aramyzda	külıp	oinap	1
tuylğan	künı	qūtty	2
tuylğan	künıñmen	qūttyqtaimyn	2
qūsyñ	qūtty	bolsyn	1
aşar	qabyl	bolsyn	1
nūrai	nūrai	nūrai	1
külmeş	külmeş	külmeş	1
talabyña	nūr	jausyn	1
batys	qazaqstan	oblysy	1
ötınışım	bar	edı	1
jeñısı	qūtty	bolsyn	1
ekeuıñız	bır	jastyqta	1
ekeuıñız	baqytty	bolyñyzdar	2
aidos	aidos	aidos	1
zor	densaulyq	qajymas	4
zor	densaulyq	tıleimın	6
damir	damir	damir	1
eşqandai	jañalyq	joq	1
säresın	ışıp	otyrmyn	1
ashat	ashat	ashat	1
baha	baha	baha	1
şolpan	şolpan	şolpan	1
jatyrmyn	ğoi	janym	1
indira	indira	indira	1
şyğys	qazaqstan	oblysy	3
ınju	ınju	ınju	1
detskii	vremia	bıttı	1
küieuıñızge	arnalğan	massajdyñ	1
iman	bailyğyn	bersın	1
sabina	sabina	sabina	1
merei	merei	merei	1
aiaulym	aiaulym	aiaulym	1
tılekterıñ	qabyl	bolsyn	1
tılekterıñız	qabyl	bolsyn	1
ıñkär	ıñkär	ıñkär	1
astaryñyz	dämdı	bolsyn	1
qadamy	qūtty	bolsyn	1
botam	botam	botam	1
zere	zere	zere	1
gülnaz	gülnaz	gülnaz	1
tez	tez	tez	2
kompaniiasynda	jūmys	jasap	1
era	era	era	1
tılekterıñdı	qabyl	etsın	1
barğym	kelıp	tūr	6
nūrbol	nūrbol	nūrbol	1
jeñısıñ	qūtty	bolsyn	1
talpyn	jaqsy	jaqsy	5
talpyn	talpyn	talpyn	4
asylai	asylai	asylai	1
pysyq	pysyq	pysyq	1
esımıñız	kım	bolady	4
esenbai	esenbai	esenbai	1
madiiar	madiiar	madiiar	1
jazylyp	ket	janym	6
jazylyp	ketsın	alla	5
sekıldı	qyzsyñ	süikımdı	1
jūrtymyz	tynyş	bolsyn	1
uaiymdama	bärı	jaqsy	1
nöl	nöl	nöl	1
bärıne	sälem	ait	4
tüsırıp	jıberşı	ötınış	1
rasul	rasul	rasul	1
tanysaiyq	qarsy	bolmasañ	1
orazalaryñ	qabyl	bolsyn	1
orazalaryñyz	qabyl	bolsyn	1
nietımız	qabyl	bolsyn	1
şahi	şahi	şahi	1
aqiqat	nemese	jalğan	1
köktemdei	qūlpyryp	jüre	1
köktemnıñ	alğaşqy	künı	4
senderdı	jaqsy	körem	3
ūmytyp	ketıppın	ğoi	1
merekelerıñ	qūtty	bolsyn	1
imany	joldas	bolsyn	1
jüregım	menıñ	janym	6
qasiettı	jūma	mübäräk	4
tapsyrys	beru	üşın	1
toğjan	toğjan	toğjan	1
syrym	syrym	syrym	1
körudı	alla	näsıp	1
körudı	näsıp	etsın	1
quasyñ	quasyñ	quasyñ	1
jannūr	jannūr	jannūr	1
allam	tün	tynyştyğyn	1
jaraidy	janym	menıñ	4
güldana	güldana	güldana	1
äldi	äldi	äldi	1
eşten	keş	jaqsy	1
meiramyñ	qūtty	bolsyn	1
meiramyñmen	qūttyqtaimyn	baqytty	4
aiajan	aiajan	aiajan	1
täp	tättım	menıñ	1
tarif	bıtıp	qaldy	2
nargiz	nargiz	nargiz	1
uaiymdamañyz	bärı	jaqsy	1
azamatşa	bolyp	össın	5
azamatşa	bolyp	öse	4
janbolat	janbolat	janbolat	1
ignor	ignor	ignor	1
ūlys	oñ	bolsyn	1
balalyq	şaq	tıleimın	3
şeksız	şeksız	şeksız	1
önerıñ	örge	jüzsın	1
mädi	mädi	mädi	1
altynym	menıñ	jüregım	1
altynym	altynym	altynym	2
jazsai	jazsai	jazsai	1
orazañyz	qabyl	bolsyn	1
olardyñ	ağzağa	äserı	1
mazam	bolmai	jatyr	5
mazam	bolmai	tūr	5
körgım	kelıp	jatyr	6
körgım	kelıp	tūr	6
körgım	kep	tūr	2
qatty	jaqsy	körem	3
qatty	qatty	qatty	2
perizat	perizat	perizat	1
körısu	künı	qūtty	1
perışte	sekıldı	qyzsyñ	1
azanda	erte	tūru	1
merekelerıñız	qūtty	bolsyn	1
sağynyp	kettım	ğoi	4
jarymnyñ	süiıktı	äielımın	1
daniiar	daniiar	daniiar	1
ūlystyñ	ūly	künı	1
balapanym	menıñ	jüregım	1
balapanym	balapanym	balapanym	1
qorğauşylar	künı	qūtty	1
qorğauşylar	künımen	qūttyqtaimyn	1
säken	säken	säken	1
ışıp	otyrmyn	özıñız	5
jaily	tūr	tättı	4
oinap	aitam	qūrsyn	3
aluğa	ülken	mümkındık	1
suretke	tüsırıp	jıberşı	5
sekret	sekret	sekret	1
saida	saida	saida	1
tılegen	dūğa	tılekterıñız	3
tılegen	tılekterıñ	qabyl	4
tılegen	tılekterıñ	oryndalsyn	5
äielımın	men	süigen	1
nietterıñızdı	qabyl	etsın	1
ūiyqtap	jatyr	ğoi	4
meiramdaryñ	qūtty	bolsyn	1
renjıp	qaldyñ	au	5
renjıp	qaldyñ	ğoi	4
alpamys	alpamys	alpamys	1
aisaule	askar	marta	1
raqmet	janym	menıñ	6
raqmet	raqmet	raqmet	1
davai	davai	davai	1
